"Nome","Volume Médio (3m)","Valor de Mercado","Receita","Relação P/L","Beta"
"MSCI","600,82K","41,65B","3,13B","36,07","1,30"
"NVR","25,2K","22,52B","10,44B","18,53","1,01"
"Carnival Corp","20,37M","43,48B","26,62B","15,56","2,44"
"West Pharmaceutical Services","823,52K","16,66B","3,02B","34,23","1,07"
"Teledyne Technologies","385,26K","29,51B","6,12B","33,39","1,03"
"Tyler Technologies","434,16K","14,67B","2,30B","47,75","0,91"
"Targa Resources","1,43M","44,12B","17,38B","27,66","0,90"
"Meta Platforms","17,66M","1,7T","200,97B","28,81","1,29"
"Alexandria RE","2,86M","9,56B","3,02B","-6,57","1,32"
"Teleflex","878,11K","4,68B","3,19B","-14,55","0,95"
"Westinghouse Air Brake","778,05K","41,05B","10,79B","34,96","1,10"
"Evergy","2,02M","17,86B","5,88B","21,24","0,64"
"Willis Towers Watson","645,09K","31,12B","9,71B","20,07","0,62"
"Caesars","6,47M","4,15B","11,37B","-17,75","2,05"
"Enphase","7,13M","6,19B","1,47B","28,90","1,37"
"Aptiv","2,3M","17,23B","20,40B","103,97","1,50"
"Crown Castle","3,03M","34,13B","4,26B","34,12","0,984"
"EPAM Systems","886,77K","9,8B","5,30B","26,80","1,77"
"Pentair","1,55M","15,54B","4,18B","24,05","1,22"
"Mondelez","11,16M","77,31B","38,54B","31,47","0,401"
"Skyworks","3,48M","9,06B","4,05B","22,70","1,32"
"Tractor Supply","6,59M","28,79B","15,52B","26,53","0,74"
"Deckers Outdoor","3,23M","15,78B","5,37B","15,89","1,15"
"Lululemon Athletica","3,89M","19,95B","11,07B","11,81","1,01"
"Regeneron Pharma","955,59K","78,67B","14,34B","18,69","0,413"
"United Rentals","698,13K","53,41B","16,10B","21,89","1,69"
"Kinder Morgan","13,74M","67,48B","16,94B","22,08","0,69"
"Albemarle","3,57M","18,42B","4,95B","-98,70","1,43"
"Centene","7M","19,62B","167,68B","-3,76","0,49"
"Phillips 66","2,42M","62,22B","132,38B","14,34","0,867"
"Xylem","1,33M","33,9B","8,89B","36,07","1,17"
"UDR","3,53M","13,46B","1,74B","84,70","0,71"
"SBA Communications","805,03K","19,23B","2,79B","22,76","0,86"
"Enbridge","4,37M","110,18B","64,23B","26,99","0,82"
"Gartner","1,17M","10,96B","6,46B","13,73","1,04"
"IDEX","697,83K","15,94B","3,46B","31,45","0,983"
"Universal Health Services","702,17K","13,53B","16,99B","10,35","1,27"
"LKQ","4M","8,79B","14,10B","12,74","0,90"
"Broadridge","823,07K","22,6B","7,18B","21,03","0,979"
"Extra Space Storage","1,26M","30,7B","3,42B","31,91","1,27"
"Camden Property","1,42M","11,51B","1,58B","43,30","0,82"
"Mohawk Industries","1,02M","8,1B","10,72B","19,56","1,24"
"American Water Works","1,78M","24,52B","5,07B","22,15","0,75"
"Alliant Energy","2,12M","17,18B","4,27B","21,04","0,66"
"Celanese","2,16M","5,7B","9,71B","-1,86","1,12"
"Bunge","1,55M","22,04B","70,33B","23,71","0,754"
"Ametek","1,43M","52,9B","7,40B","35,60","1,04"
"WR Berkley","2,86M","26,89B","14,71B","16,03","0,39"
"LyondellBasell Industries","6,05M","17,34B","37,78B","-13,37","0,75"
"Royal Caribbean Cruises","2,36M","88,18B","17,93B","20,81","1,94"
